calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2018-04-29,2018,17,42.0,24.442857197352815,29.3557139805385,81.5428571428571
2018-05-06,2018,18,26.0,24.68857138497489,29.23000035967146,80.9471428571429
2018-05-13,2018,19,27.0,24.121428898402623,28.42428534371512,84.2428571428571
2018-05-20,2018,20,26.0,24.281428473336355,28.81571469988142,82.59
2018-05-27,2018,21,12.0,24.51142828805106,29.19285719735282,80.1485714285714
2018-06-03,2018,22,23.0,25.167142868041992,29.64857155936105,74.4814285714286
2018-06-10,2018,23,22.0,24.5271429334368,28.55714334760393,81.1871428571429
2018-06-17,2018,24,15.0,24.13714272635324,29.38428579057966,74.4057142857143
2018-06-24,2018,25,14.0,23.90428570338658,28.34142848423549,76.7328571428571
2018-07-01,2018,26,17.0,24.00857135227748,29.97571400233678,69.2757142857143
2018-07-08,2018,27,10.0,24.68857138497489,29.97142818995885,72.2614285714286
2018-07-15,2018,28,12.0,23.48714283534459,27.52000018528529,79.8928571428571
2018-07-22,2018,29,16.0,23.2785712650844,28.93142836434501,71.7514285714286
2018-07-29,2018,30,14.0,24.189999989100865,29.9028570992606,69.2471428571429
2018-08-05,2018,31,14.0,24.17714255196708,29.37999997820173,73.7557142857143
2018-08-12,2018,32,13.0,24.19285692487444,29.59714317321777,75.4571428571429
2018-08-19,2018,33,14.0,24.338571820940288,29.63857133047921,73.8928571428571
2018-08-26,2018,34,8.0,24.205714362008234,31.17714309692383,65.1257142857143
2018-09-02,2018,35,10.0,24.252857208251957,31.49285725184849,64.2071428571429
2018-09-09,2018,36,12.0,24.47285733904157,30.72999981471471,67.6514285714286
2018-09-16,2018,37,9.0,24.30142865862165,30.95142827715193,66.0814285714286
2018-09-23,2018,38,3.0,24.45857102530343,30.81000001089913,69.4485714285714
2018-09-30,2018,39,6.0,24.82999965122768,30.61428587777274,71.5114285714286
2018-10-07,2018,40,8.0,24.978571483067103,29.81000001089913,70.9842857142857
2018-10-14,2018,41,6.0,24.990000316074916,30.79857172284807,69.3342857142857
2018-10-21,2018,42,13.0,25.23714283534459,30.1257141658238,71.5028571428571
